entity_id,canonical_key,preferred_name,language_group,variant_count,occurrence_count,all_variants_pipe,first_context,source_refs_sample,known_or_suggested_wikidata_qid,entity_type,status,privacy_review_required,batch2_note
ENT_12BBDDD5BD,mohabbat ali,Sayyid Mohabbat Ali,en,3,46,Syed Mohabbat Ali | Syed Muhabbat Ali | Sayyid Mohabbat Ali,11. Syed Hafeez Ali and Syed Mohabbat Ali: Identity and Adaptation,SRC001 p.14 line 30; SRC001 p.16 line 16; SRC001 p.17 line 27; SRC002 p.112 line 57; SRC002 p.113 line 30; SRC002 p.113 line 32; SRC002 p.113 line 34; SRC002 p.113 line 36; SRC002 p.113 line 38; SRC002 p.113 line 40; SRC002 p.113 line 42; SRC002 p.113 line 44; SRC002 p.113 line 56; SRC002 p.113 line 68; SRC002 p.114 line 12; SRC002 p.114 line 4; SRC002 p.2 line 15; SRC002 p.21 line 15; SRC002 p.24 line 32; SRC002 p.26 line 10; SRC002 p.31 line 22; SRC002 p.33 line 30; SRC002 p.35 line 9; SRC002 p.40 line 14; SRC002 p.69 line 4; SRC002 p.71 line 23; SRC002 p.75 line 20; SRC002 p.81 line 16,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_268FCFDAA1,umeed ali,Syed Umeed Ali,en,1,28,Syed Umeed Ali,"In addition to this loss, another manuscript that had been preserved by Syed Umeed Ali",SRC001 p.14 line 32; SRC001 p.17 line 30; SRC002 p.113 line 32; SRC002 p.113 line 44; SRC002 p.113 line 46; SRC002 p.113 line 48; SRC002 p.113 line 50; SRC002 p.113 line 52; SRC002 p.113 line 54; SRC002 p.114 line 20; SRC002 p.114 line 31; SRC002 p.114 line 40; SRC002 p.2 line 19; SRC002 p.41 line 23; SRC002 p.46 line 13; SRC002 p.51 line 12; SRC002 p.51 line 5,,person_or_genealogical_ancestor_candidate,hold_privacy_blp_review,yes,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_D0F5F6FFD4,imam husayn,Imam Hussain,en,2,27,Imam Hussain | Imam Husayn,In the Name of the Lord of Imam Hussain (A.S.),SRC001 p.8 line 21; SRC001 p.9 line 7; SRC002 p.103 line 54; SRC002 p.104 line 44; SRC002 p.104 line 46; SRC002 p.104 line 48; SRC002 p.104 line 50; SRC002 p.104 line 52; SRC002 p.104 line 54; SRC002 p.105 line 3; SRC002 p.105 line 31; SRC002 p.107 line 12; SRC002 p.15 line 32; SRC002 p.6 line 20; SRC002 p.6 line 21; SRC002 p.60 line 25; SRC002 p.63 line 7; SRC002 p.87 line 17; SRC002 p.87 line 42; SRC002 p.87 line 43; SRC002 p.87 lines 6-18,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_E5C93C1FB2,hafeez ali,Syed Hafeez Ali,en,1,25,Syed Hafeez Ali,11. Syed Hafeez Ali and Syed Mohabbat Ali: Identity and Adaptation,SRC002 p.112 line 55; SRC002 p.112 line 59; SRC002 p.112 line 61; SRC002 p.112 line 63; SRC002 p.2 line 15; SRC002 p.21 line 13; SRC002 p.24 line 31; SRC002 p.26 line 9; SRC002 p.32 line 17; SRC002 p.32 line 21; SRC002 p.33 line 30,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_AAAF97554C,imam ali,Imam Ali,en,1,23,Imam Ali,"A foundational genealogical work documenting the descendants of Imam Ali (A.S),",SRC001 p.29 line 12; SRC002 p.104 line 15; SRC002 p.104 line 18; SRC002 p.104 line 20; SRC002 p.104 line 22; SRC002 p.104 line 24; SRC002 p.104 line 26; SRC002 p.104 line 28; SRC002 p.104 line 30; SRC002 p.104 line 32; SRC002 p.104 line 34; SRC002 p.104 line 44; SRC002 p.109 line 26; SRC002 p.114 line 10; SRC002 p.87 line 17; SRC002 p.87 line 43; SRC002 p.87 line 44; SRC002 p.87 lines 6-18; SRC002 p.92 line 12; SRC002 p.94 line 14,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_F2D3F09150,abdullah,Hazrat Abdullah,en,3,20,Syed Abdullah | Hazrat Abdullah | Abdullah,Syed Ja‘far Sani → Syed Ali Asghar → Syed Abdullah → Syed Ahmad Shah → Syed,SRC002 p.103 line 15; SRC002 p.103 line 35; SRC002 p.103 line 38; SRC002 p.103 line 39; SRC002 p.103 line 50; SRC002 p.104 line 28; SRC002 p.105 line 10; SRC002 p.106 line 24; SRC002 p.107 line 18; SRC002 p.108 line 40; SRC002 p.109 line 13; SRC002 p.87 line 32; SRC002 p.87 line 33; SRC002 p.87 lines 6-18; SRC002 p.94 line 19,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_E507D4C91F,ameer ali shah,Hazrat Syed Ameer Ali Shah,en,2,19,Syed Ameer Ali Shah | Hazrat Syed Ameer Ali Shah,The lineage of Hazrat Syed Ameer Ali Shah (R.A),SRC001 p.32 line 8; SRC002 p.10 line 5; SRC002 p.11 line 14; SRC002 p.112 line 31; SRC002 p.112 line 37; SRC002 p.112 line 40; SRC002 p.112 line 42; SRC002 p.112 line 44; SRC002 p.2 line 10; SRC002 p.79 line 12; SRC002 p.81 line 4; SRC002 p.87 line 20; SRC002 p.87 line 6; SRC002 p.87 lines 6-18,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_50243DF89C,imam musa kazim,Imam Musa Kazim,en,1,19,Imam Musa Kazim,Naqi (AS) ibn Imam Muhammad Taqi (AS) ibn Imam Ali Raza (AS) ibn Imam Musa Kazim,SRC002 p.106 line 10; SRC002 p.106 line 12; SRC002 p.106 line 14; SRC002 p.106 line 16; SRC002 p.106 line 18; SRC002 p.106 line 20; SRC002 p.106 line 22; SRC002 p.106 line 24; SRC002 p.106 line 26; SRC002 p.106 line 31; SRC002 p.106 line 42; SRC002 p.106 line 7; SRC002 p.87 line 15; SRC002 p.87 line 38; SRC002 p.87 line 39; SRC002 p.87 lines 6-18,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_62587BEF0D,imam jafar sadiq,Imam Jafar Sadiq,en,1,18,Imam Jafar Sadiq,(AS) ibn Imam Jafar Sadiq (AS) ibn Imam Muhammad Baqir (AS) ibn Imam Zain ul,SRC002 p.105 line 40; SRC002 p.105 line 43; SRC002 p.105 line 45; SRC002 p.105 line 47; SRC002 p.105 line 49; SRC002 p.105 line 51; SRC002 p.105 line 53; SRC002 p.105 line 55; SRC002 p.105 line 57; SRC002 p.106 line 4; SRC002 p.106 line 7; SRC002 p.87 line 16; SRC002 p.87 line 39; SRC002 p.87 line 40; SRC002 p.87 lines 6-18,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
ENT_6EF9A5B137,qamar ali,Syed Qamar Ali,en,1,17,Syed Qamar Ali,Syed Qamar Ali,SRC002 p.112 line 61; SRC002 p.112 line 63; SRC002 p.112 line 65; SRC002 p.113 line 10; SRC002 p.113 line 16; SRC002 p.113 line 20; SRC002 p.113 line 26; SRC002 p.113 line 4; SRC002 p.113 line 6; SRC002 p.113 line 8; SRC002 p.48 line 21; SRC002 p.49 line 14; SRC002 p.55 line 14; SRC002 p.56 line 9; SRC002 p.88 line 17,,person_or_genealogical_ancestor_candidate,ready_for_human_merge_review,no,Merged by conservative normalized key; review variants before Wikidata upload.
